image_name,shop_name,address,phone_number,website_links,open_hours
hình 3200.jpg,VƯỢNG HẢI SẢN ỨT LINH,"529 529A KHA VĂN CẬN, P.LINH ĐÔNG, TP.THỦ ĐỨC","['091 5767 189', '0972 887']",,
hình 3201.jpg,SIÊU THỊ,"ĐT: 509 KHA VĂN CẢN, P. LINH ĐỘNG, Q. THỦ ĐỨC",['0909.869.155'],"https://www.dienmayxanh.com/dien-may-525-kha-van-can-phuong-linh-dong-tp-thu-duc-tp-ho-chi-minh-id-9252, https://diadiem247.com/tp-ho-chi-minh/sieu-thi-dien-may-xanh-kha-van-can-tphcm-l180124.html",
hình 3202.jpg,HOÀNG ANH,,[],,
hình 3203.jpg,A Di Đà Phát,499 Kha Van Can - KP 23 - P. Thủ Đức - TP.HCM,"['0283.897.1453', '0967.256.353']",,
hình 3204.jpg,ÁNH TÍN,ĐT: 0919 160 774,['0909.765.966'],,
hình 3205.jpg,CƠ SỞ GỒ HÀN TUÂN SON 1,"487 KHA VĂN CẤP, P. THỦ ĐỨC, TP. HỒ CHÍ MINH",['0903.630.662'],,
hình 3206.jpg,CƠ SỞ ĐIỆN LẠNH HOÀNG ĐẠI,"479 ĐƯỜNG KHA VĂN CẬN, PHƯỜNG THỦ ĐỨC, TP. HỒ CHÍ MINH","['0223.8701', '0922.148.333']",hoangdai@gmail.com,
hình 3207.jpg,ĐẠI PHÁT,"ĐT: 477 KHA VĂN CẢNH, P. LĨNH ĐÔNG, Q. THỦ ĐỨC","['02832751390', '096826266']",,
hình 3208.jpg,Phụ Kiện - Loa Mic Karaoke,"CHI NHÁNH 22 - ĐC: SỐ 471 Đ. KHA VĂN CẢ, P. LINH ĐỘNG, TP. THỦ ĐỨC, HCM",['0962.62.62'],,
hình 3209.jpg,DUY NHẤT,"471 Kha Van Cân, P. Linh Đông, TP. Thủ Đức.","['0908 607 601', '0984 283 014']",,
hình 3210.jpg,CÔNG TY TNHH MỘT THÀNH VIÊN - TM - DV - CƠ KHÍ XÂY DỰNG,"DC: 471 Kha Văn Cống, P. Linh Động, TP. Thủ Đức","['0929 39 68 66', '0913 733 671']",,
