image_name,shop_name,address,phone_number,website_links,open_hours
hình 3200.jpg,VUA HẢI SẢN ÚT LINH,"529 529A KHA VẠN CÂN, P.LINH ĐÔNG, TP.THỦ ĐỨC","['091 5767 189', '0972 887']","https://www.facebook.com/haisanutlinh/, https://haisanutlinh.com/",
hình 3201.jpg,SIÊU THỊ,"509 KHA VẠN CÂN, P. LINH ĐÔNG, Q. THỦ ĐỨC",['0909.869.155'],,
hình 3202.jpg,HOÀNG ANH,"55C KM 49 CẦU GIẤP PHONG ĐỒNG, THỦ DẦU MỘT","['0223 3967421', '0913745004']",,
hình 3203.jpg,A Di Đà Phật,499 KHA VẠN CÂN - KP.23 - P. THỦ ĐỨC - TP.HCM,"['0283.897.1453', '0967.256.353']","https://vanphong-pham.com/van-phong-pham-quan-thu-duc/, https://kingsport.vn/showroom-kingsport-kha-van-can-thu-duc.html",
hình 3204.jpg,ÁNH TÍN,497 KHA VẠN CẦN-KP5-P.LINH ĐÔNG-TP.THỦ ĐỨC,"['0909.160.774', '0909.765.966']",,
hình 3205.jpg,CƠ SỞ GÒ HÀN TUẤN SƠN 1,"487 KHA VẠN CÂN, P. THỦ ĐỨC, TP. HỒ CHÍ MINH",['0903.630.662'],,
hình 3206.jpg,HOÀNG ĐẠI,"479 ĐƯỜNG KHA VẠN CÂN, PHƯỜNG THỦ ĐỨC, TP. HỒ CHÍ MINH","['08223.8701', '0922.148.333']",https://www.foody.vn/ho-chi-minh/hoa-hong-hotel-kha-van-can,
hình 3207.jpg,ĐẠI PHÁT,"477 KHA VẠN CẦN, P. LINH ĐÔNG, Q. THỦ DỨC","['02837201390', '098626216']",https://www.thegioididong.com/sieu-thi-628-628a-kha-van-can-khu-pho-8-p-linh-dong-q-thu-duc-tp-ho-chi-minh-id-1211,
hình 3208.jpg,Phụ Kiện - Loa Míc Karaoke,"Số 471 Đ. KHA VẠN CÂN, P. LINH ĐÔNG, TP. THỦ ĐỨC, HCM",['0962.62.62.64'],"https://loakaraoke.com.vn/, https://daithienan.com/linh-kien-loa",
hình 3209.jpg,DUY NHẤT,"471 Kha Vạn Cân, P. Linh Đông, TP. Thủ Đức, HCM","['0908607601', '0984283014']",,
hình 3210.jpg,CÔNG TY TNHH MỘT THÀNH VIÊN SX - TM - DV - CƠ KHÍ XÂY DỰNG,"471 Kha Vạn Cân, P. Linh Đông, TP. Thủ Đức TP.HCM","['0929396866', '0913733671']",,
