image_name,shop_name,address,phone_number,website_links,open_hours
hình 3200.jpg,Vua Hải Sản Út Linh,"529 529A KHA VẠN CÂN, P.LINH ĐÔNG, TP.THỦ ĐỨC","['091 5767 189', '0972 88']","https://haisanutlinh.com/, https://www.facebook.com/haisanutlinh/",
hình 3201.jpg,,,,,
hình 3202.jpg,,,,,
hình 3203.jpg,TẤN ĐẠT,499 KHA VẠN CÂN - KP.23 - P. THỦ ĐỨC - TP.HCM,"['0283.897.1453', '0967.256.353']",,
hình 3204.jpg,Showroom Nội Thất Cao Cấp Ánh Tín,ĐC: 497 KHA VẠN CÂN-KP5-P.LINH ĐÔNG-T.P.THỦ ĐỨC,['0919 160 774'],,
hình 3205.jpg,Cơ sở Gò Hàn TUAN SON 1,"487 KHA VẠN CÂN, P. THỦ ĐỨC, TP. HỒ CHÍ MINH",['0903.630.662'],,
hình 3206.jpg,HOÀNG ĐẠI CƠ SỞ ĐIỆN LẠNH,"479 ĐƯỜNG KHA VẠN CÂN, PHƯỜNG THỦ ĐỨC, TP. HỒ CHÍ MINH","['(08) 2223.8701', '0922.148.333']",,
hình 3207.jpg,,,,,
hình 3208.jpg,,,,,
hình 3209.jpg,,,,,
hình 3210.jpg,,,,,
